Lat_norm,Lon_norm,Hierarchical_Cluster
-0.652875820898499,0.8073632956292248,0
-1.0729448440611682,0.5350375876574824,0
2.020254304532551,-0.01927347642161445,2
0.05324238507375937,-0.8415588767790819,5
-1.6815156919692387,0.6823053386163246,0
0.14961952137376822,-1.1448736304246243,5
1.6841903523675512,-0.4440453322365369,2
-0.734037711017727,0.7282268579139899,0
1.2779687747303536,0.33649999984342016,2
1.2978243638895552,-1.645764307594996,1
1.847462681898245,-0.27917476836379684,2
0.6419804923763548,-0.9275833010246637,5
0.521418507804562,-1.365978282595403,1
0.4417128383241178,0.5840597696730486,4
0.5676013141676051,0.20147688640259978,4
0.8574313677445248,-1.3599196248064924,1
-1.066900709920408,1.4214523069305167,0
-0.4473824305489945,-0.27130816274040853,3
1.9381329134934144,-0.2310126403784222,2
1.3961294477799018,-0.18232606524324066,2
-1.1404348605384829,-0.4633713697784501,3
0.001939427632190774,-0.9316130395774899,5
-0.7088619710027174,-1.188450796604346,3
1.4461441825511814,-2.004161171385022,1
-0.07443963306859114,-0.6185265938115959,5
-0.8761533980224794,1.3615641958268216,0
-1.9275114292758113,0.7173588962819938,0
0.5400776719893925,-1.6421933988989246,1
0.44793089584017654,-0.9724703232085815,5
-0.8956692907474878,-0.14010833220168661,3
1.4738813353567786,-3.759697217955886,1
1.4450913045954388,0.2049012994945523,2
-0.9224447638357783,1.363260438433911,0
-1.6180285645720158,0.9463311534102871,0
1.2294790944596665,-0.9877254970585891,2
0.9093158796712117,0.46962930740599285,2
-0.8645222967919605,0.40342230513777216,0
-2.0035946000531664,0.8592257206703533,0
0.2255816709013792,0.7498010923075598,4
1.1555438030123357,0.24952400627671165,2
0.7224632201878797,-1.2388948447329926,1
1.1048829567928369,0.26050026862489595,2
-0.7964371458112447,1.276913974538962,0
0.30193211903396994,0.16010557240923107,4
-1.0516868125191048,1.9324819907868191,0
-1.7730487158479962,2.2547616158538397,0
-1.5464643927384953,2.2139030957585963,0
0.9594921221304218,-0.5626089895428443,5
0.1917370028509883,0.6956512084407663,4
0.05736110779047091,0.6166375871930799,0
-0.5199365834113238,1.1098230935422917,0
-1.8363694476728638,0.08202773439130383,0
